,NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,PT08.S1(CO)
3362,-200,8,899,234,767,118,1275,836,17.7,51.5,1.0357,1030
3363,-200,7,857,230,681,123,1182,946,17.9,38.8,0.7883,1103
3364,-200,-200,-200,510,-200,115,-200,-200,-200,-200,-200,-200
3365,-200,1.2,517,83,1069,70,1046,689,12,65.2,0.9103,878
3366,-200,8.4,916,-200,711,-200,1517,1093,25.7,46.6,1.5105,1165
3367,-200,1.9,580,122,1183,90,655,402,1.1,35.4,0.2382,776
3368,-200,1.7,560,62,1206,44,1045,644,8.9,77.1,0.8804,848
3369,-200,1.9,580,-200,983,-200,863,487,5.6,52.9,0.4855,931
3370,-200,13,1085,266,617,79,1638,1170,26.6,42.5,1.4568,1192
3371,-200,11.2,1022,84,765,89,1806,1013,26.1,42.2,1.4039,1153
3372,-200,2,586,41,1480,46,1373,432,16.4,54,0.9979,942
3373,-200,8.3,912,72,764,71,1661,826,34.3,31.5,1.6745,1032
3374,-200,14.6,1136,542,631,170,1365,1278,5.2,83.1,0.7411,1293
3375,-200,12.7,1072,-200,617,-200,1688,1107,24.4,52.5,1.583,1299
3376,-200,2.4,613,134,1019,93,817,389,19.3,22.3,0.495,867
3377,-200,-200,-200,723,-200,251,-200,-200,-200,-200,-200,-200
3378,-200,5.6,794,225,852,119,1106,971,8.5,65,0.7221,987
3379,-200,6.2,820,40,886,68,1452,530,39.1,20.7,1.427,958
3380,27,3.5,681,82,1246,64,1418,870,11.2,68.5,0.9081,1017
3381,-200,15,1149,581,469,115,1523,1614,16.1,46.4,0.8436,1404
3382,-200,2.8,640,144,821,92,1247,738,14.1,79.1,1.2665,1015
3383,-200,1.2,516,75,1049,59,1002,667,10.1,64.5,0.7968,923
3384,-200,9.5,958,260,579,117,1420,1215,20.4,50.5,1.1954,1255
3385,120,5.9,808,65,1038,69,1421,589,16.4,47.7,0.8819,1045
3386,-200,10.3,990,111,672,100,1807,918,30.1,45,1.8891,1136
3387,-200,20.5,1312,383,520,107,1853,1364,23.8,51.4,1.4956,1333
3388,29,1.1,514,42,1615,59,1036,332,14.1,34,0.5442,799
3389,-200,-200,-200,1037,-200,208,-200,-200,-200,-200,-200,-200
3390,-200,1.5,541,69,1067,61,937,392,15.1,44.5,0.7569,848
3391,-200,8.3,911,-200,916,-200,1528,889,11.3,70.5,0.9389,1053
3392,-200,2.8,641,215,1077,140,759,537,5.4,30.1,0.2726,880
3393,-200,11.4,1027,-200,583,-200,1328,1901,9.2,67.3,0.7851,1366
3394,-200,18.3,1248,516,661,175,1308,1377,6.5,41.7,0.4047,1175
3395,11,1.6,554,28,1460,40,1268,667,11.8,58,0.8026,869
3396,-200,3.6,688,67,920,47,1317,820,20.5,62.1,1.4771,920
3397,-200,9.6,962,478,685,171,1138,1385,10.3,44.9,0.5612,1237
3398,-200,6.6,839,287,834,169,878,977,9.4,24.8,0.2923,950
3399,-200,2,583,105,1972,66,946,517,12.3,48.7,0.6931,792
3400,-200,8.5,921,-200,716,-200,1534,988,24.3,45.4,1.365,1096
3401,-200,21.6,1341,830,436,162,1672,1991,9.1,67.5,0.7831,1596
3402,-200,24.4,1414,760,455,193,1851,1682,17.7,56.6,1.133,1553
3403,-200,3.9,703,-200,865,-200,903,989,2.2,59.6,0.4333,966
3404,-200,31.2,1578,665,440,81,2205,1786,19.4,66.5,1.4801,1606
3405,-200,6.5,833,75,916,67,1632,862,16.9,66.5,1.2688,1012
3406,62,3.2,666,62,1235,71,1282,518,9.8,71.8,0.8702,956
3407,171,10,977,171,794,99,1695,1105,12.8,81,1.1915,1281
3408,-200,7,856,176,746,81,1254,1036,14.7,60.3,1.0031,1111
3409,-200,23.7,1396,231,645,168,2009,1402,27.7,24.8,0.9106,1401
3410,-200,6.8,848,-200,763,-200,1657,713,28.2,49.8,1.8795,996
3411,-200,5.3,777,-200,778,-200,1031,1082,2.9,72.2,0.5523,1039
3412,80,3.8,700,78,1221,90,1178,553,13.1,34.4,0.517,949
3413,-200,19.3,1277,282,529,140,2188,1392,25.9,51.5,1.7,1362
3414,-200,7,858,118,1080,89,1535,724,21.8,39.2,1.0115,877
3415,-200,8.3,910,79,1056,81,1389,643,28.2,19.4,0.7303,965
3416,-200,11.2,1023,358,780,132,1226,964,13.1,40.4,0.606,973
3417,-200,6.3,826,56,870,70,1531,691,35.8,25.7,1.4861,954
3418,-200,1.5,546,27,1483,33,1252,396,14.6,53.3,0.8807,758
3419,-200,6,812,259,989,100,1189,842,14.9,53.4,0.8998,969
3420,-200,4.1,717,-200,991,-200,882,592,12.7,28.4,0.416,872
3421,-200,12.8,1077,-200,603,-200,1628,1270,19,71.6,1.5549,1217
3422,357,-200,-200,214,-200,139,-200,-200,-200,-200,-200,-200
3423,-200,21.7,1342,-200,539,-200,1875,1396,19.8,53.1,1.216,1255
3424,-200,4.7,749,64,1096,74,1487,612,22.2,44.1,1.1654,870
3425,-200,3.5,682,34,983,36,1457,611,23.9,56.3,1.6489,875
3426,-200,25.9,1451,318,631,206,2183,1541,35.8,22.1,1.2792,1372
3427,93,4.3,727,91,1055,82,1448,903,11.4,71.8,0.9671,1067
3428,-200,1.9,577,21,1158,33,1265,488,23.9,34.4,1.0079,774
3429,41,1.5,545,-200,1423,-200,1224,424,15.2,45.8,0.7864,842
3430,-200,16.9,1208,626,528,204,1405,1962,10.8,52.4,0.6767,1438
3431,-200,10.7,1004,387,652,193,1078,1421,5.2,44.2,0.3943,1195
3432,-200,12.8,1077,-200,602,-200,1580,1379,21.8,59.9,1.5492,1231
3433,-200,39.3,1756,755,466,209,2165,1908,23,33.6,0.9302,1479
3434,-200,3.4,676,38,975,39,1303,676,19.5,57,1.2739,803
3435,-200,10.1,980,114,986,113,1591,891,25,26.9,0.8408,1025
3436,-200,25.6,1445,667,477,151,1970,1782,24,50,1.4679,1426
3437,-200,10.9,1010,380,622,185,1284,1214,7.8,63.4,0.6735,1212
3438,-200,16,1180,527,472,122,1632,1354,13.2,69.9,1.0543,1371
3439,-200,22.6,1368,228,605,148,2092,1494,20.3,43.1,1.0114,1390
3440,-200,7.1,863,-200,992,-200,1408,539,19.8,33.6,0.767,918
3441,-200,7.5,879,181,885,109,1404,887,23.5,40.6,1.1588,997
3442,-200,5.3,780,-200,919,-200,909,884,9.6,32.3,0.3871,962
3443,-200,3.6,687,-200,1295,-200,1288,726,18.6,38.8,0.8228,846
3444,-200,2.4,616,-200,1271,-200,1189,496,20.4,47.1,1.1178,804
3445,-200,15.8,1172,162,874,127,1459,1105,31.6,9.2,0.419,1091
3446,-200,15,1149,-200,620,-200,1676,1113,22.7,47.6,1.2989,1150
3447,-200,3.6,686,50,942,38,1406,549,22.8,64,1.7507,941
3448,-200,3.9,703,194,843,122,988,1017,1.8,74.5,0.5271,989
3449,-200,17.1,1212,750,527,179,1443,1568,9.3,67.1,0.7849,1347
3450,-200,3.8,698,-200,1017,-200,1331,542,25.7,36.9,1.1991,826
3451,-200,3.6,690,127,1051,84,907,819,1.8,61.7,0.4376,819
3452,-200,2.4,615,21,1172,34,1525,543,16.6,80.2,1.5002,806
3453,-200,2.1,590,-200,1125,-200,1241,624,15.8,77.6,1.3792,823
3454,-200,13.7,1107,-200,590,-200,1807,935,29.9,35.2,1.4603,1181
3455,-200,2.9,644,94,990,40,1239,747,17.8,68.1,1.3722,832
3456,-200,1.8,568,101,1037,72,1054,656,12.4,62.6,0.8994,939
3457,-200,5.4,783,-200,898,-200,1397,568,36.2,21.4,1.2664,942
3458,-200,11,1016,209,658,73,1572,1210,21.8,58.2,1.5036,1182
3459,-200,7,858,118,941,84,1613,779,24.8,39.1,1.2039,962
3460,-200,14.2,1122,128,678,112,1921,1272,27.8,45.2,1.6604,1180
3461,345,18.3,1249,213,662,111,2033,1380,16.6,68.2,1.2737,1458
3462,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853,1028
3463,-200,7.1,862,256,823,138,972,961,14.4,25.7,0.4193,951
3464,189,-200,-200,154,-200,109,-200,-200,-200,-200,-200,-200
3465,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.806,1444
3466,-200,14.6,1136,346,648,112,1782,1491,25.1,49.4,1.548,1204
3467,-200,3.5,685,214,934,157,870,840,4.9,43.7,0.3809,938
3468,-200,24.4,1414,486,478,139,1896,1588,25.9,42.8,1.4122,1414
3469,505,19.8,1291,342,675,94,1949,1435,9.5,69.6,0.8273,1510
3470,-200,2,583,83,955,64,914,589,10.1,49.7,0.6122,850
3471,325,16.9,1207,208,770,132,1847,1301,13.8,53.4,0.8351,1310
3472,-200,15.5,1163,430,762,108,1606,1300,21.4,45.8,1.1515,1209
3473,-200,0.2,388,20,1785,20,765,274,3.7,56.3,0.453,758
3474,-200,10.1,982,359,656,89,1358,1236,11.2,78.3,1.0415,1225
3475,-200,13.3,1094,345,600,74,1599,1180,18.8,70.6,1.5209,1181
3476,-200,2.8,637,36,1187,53,1362,699,15,59.8,1.0142,834
3477,-200,7.5,878,289,641,152,1224,844,14,47.8,0.7582,1177
3478,-200,11.2,1021,132,712,120,1670,1159,37.3,22.9,1.4369,1142
3479,-200,9.2,947,181,724,115,1724,1134,24.7,46.8,1.4337,1086
3480,-200,26.3,1462,1076,472,228,1574,2181,6.3,57.9,0.5575,1564
3481,-200,10.2,984,251,784,115,1485,1049,30,28.5,1.1883,1083
3482,-200,13,1084,104,684,127,1723,838,38.2,21.8,1.4312,1118
3483,-200,3.5,683,180,993,122,894,572,4.3,49.7,0.4166,876
3484,-200,7.2,867,93,731,80,1685,1048,22.1,72.6,1.9105,1058
3485,-200,2.1,595,-200,1208,-200,1214,507,13.9,75.2,1.1884,827
3486,-200,31.5,1585,1188,422,183,1960,1967,10.7,76.2,0.9798,1702
3487,-200,3.3,673,83,947,61,1412,636,22.8,58.5,1.5985,864
3488,-200,18.4,1252,237,739,153,1729,1107,36,13.3,0.7773,1052
3489,-200,1.8,568,81,1015,72,992,438,15.6,47.1,0.8273,886
3490,-200,13.1,1088,-200,849,-200,1785,1067,21.7,44.7,1.1451,1120
3491,-200,7.8,892,-200,884,-200,1580,923,16.7,56.5,1.0634,1224
3492,-200,9.1,945,306,692,145,1082,1000,19.1,18.1,0.3955,1041
3493,-200,1.9,574,-200,1150,-200,930,752,7.9,55.4,0.593,833
3494,-200,13,1084,596,586,144,1544,1362,15.8,74.7,1.3336,1290
3495,-200,2.2,599,147,1023,109,825,515,3.8,46.5,0.3762,901
3496,66,2.7,635,47,1207,60,1307,836,11.1,63.2,0.8331,900
3497,-200,20.2,1301,496,746,149,1694,1350,14.6,56.6,0.9367,1310
3498,-200,3.7,693,-200,955,-200,882,979,2.3,56.3,0.4134,919
3499,-200,8.4,914,80,760,88,1653,858,33.5,34,1.73,1012
3500,-200,2.2,597,152,1084,117,994,602,4.5,76.3,0.648,917
3501,-200,8.6,924,101,720,80,1806,909,26,61.9,2.0511,1076
3502,-200,3.4,679,-200,1010,-200,1501,713,26.6,43,1.4773,873
3503,-200,1.4,533,129,1198,91,775,488,4.6,38.1,0.3267,827
3504,-200,10.5,995,484,552,200,1402,1341,14.1,60.8,0.9716,1305
3505,-200,6.5,833,260,759,156,1104,1180,6.6,61.3,0.5995,1112
3506,-200,12.9,1081,318,555,177,1323,951,25.9,21.9,0.7209,1264
3507,-200,3,652,34,1075,49,1405,671,22.5,43.2,1.1589,839
3508,-200,18.4,1251,372,530,136,1853,1487,26.4,45.4,1.54,1464
3509,-200,-200,-200,96,-200,92,-200,-200,-200,-200,-200,-200
3510,-200,3.9,708,146,816,91,1167,949,12.4,69.5,0.9986,1047
3511,836,27.7,1497,275,569,99,2278,1641,13.3,55.6,0.8453,1529
3512,-200,8.8,930,317,669,112,1210,1179,7.6,73,0.7629,1183
3513,-200,6.4,831,-200,810,-200,1425,961,20,63.1,1.4592,968
3514,-200,15,1149,234,780,149,1725,1304,21.7,31.8,0.8191,1284
3515,-200,7.4,872,133,941,90,1577,1054,15.1,60.9,1.0398,1300
3516,-200,20.8,1320,-200,514,-200,1925,1481,23.7,55.6,1.6074,1524
3517,-200,3.4,676,49,1331,49,1374,489,26.6,29,0.9928,773
3518,-200,5.8,802,51,821,54,1504,564,32.5,34.1,1.6453,965
3519,-200,6.3,828,132,892,66,1491,837,21.3,63.2,1.5794,961
3520,-200,19.9,1293,-200,549,-200,1797,1365,21.4,47.2,1.1927,1285
3521,-200,9.8,969,-200,729,-200,1459,782,37.1,21.2,1.3107,1062
3522,415,15.6,1169,188,685,105,1874,1459,20,45,1.039,1409
3523,-200,9.8,970,477,625,199,1174,1203,8.4,44.6,0.4922,1187
3524,-200,26.3,1463,297,470,150,2322,1691,24.4,49.3,1.4814,1380
3525,-200,8.4,917,-200,797,-200,1495,1129,22,55.8,1.4585,1108
3526,-200,32.8,1615,760,404,166,2232,1963,24,55,1.6211,1669
3527,-200,10.9,1012,453,650,142,1230,1161,4,78.5,0.645,1115
3528,-200,11.1,1018,341,688,169,1210,1149,7.2,49.8,0.5061,1174
3529,-200,2.8,640,33,1089,47,1330,670,16.5,50.2,0.932,888
3530,-200,10.8,1008,-200,656,-200,1649,963,26,43.6,1.4407,1070
3531,-200,8.3,910,389,717,148,1112,1340,5.9,66.4,0.6226,1124
3532,-200,15.3,1158,528,518,143,1485,1553,12.8,62.5,0.9213,1386
3533,-200,2.5,617,15,1027,25,1561,622,26.7,61,2.101,864
3534,-200,5.4,783,255,835,118,1013,1026,3.9,67.1,0.5483,1011
3535,-200,5.1,767,68,1055,79,1532,702,21.6,46,1.1742,886
3536,-200,5.6,792,-200,809,-200,1638,725,29,51.7,2.0375,1005
3537,-200,2.5,618,102,1032,74,948,555,8.6,51.5,0.5772,876
3538,-200,5.9,807,213,978,90,1056,1044,6.7,64.6,0.6381,995
3539,-200,4,709,-200,1085,-200,1498,646,20.7,56.1,1.3565,836
3540,-200,0.7,472,49,1179,45,803,382,6.4,49.8,0.4814,874
3541,-200,5,763,38,879,55,1388,656,23.3,45.3,1.2794,882
3542,-200,26.3,1462,867,449,223,1599,1885,4.1,47.9,0.3959,1402
3543,-200,8.3,910,-200,795,-200,1348,875,15.3,58.7,1.0154,984
3544,-200,20.7,1317,329,631,151,1816,1196,33.2,25.4,1.2722,1303
3545,-200,23.9,1401,812,475,144,1698,1689,10,76.1,0.9329,1429
3546,-200,4.1,718,39,927,53,1395,826,21.3,45.5,1.1405,939
3547,-200,13.3,1094,395,615,90,1526,1188,19.5,57.4,1.2874,1252
3548,-200,30.3,1559,731,605,168,1939,1669,11.5,68,0.9207,1471
3549,-200,26.4,1463,527,460,138,1935,1632,24.2,44,1.3078,1492
3550,-200,11.3,1024,159,792,121,1555,1068,41,11.6,0.8872,1056
3551,-200,4.7,747,37,862,38,1605,712,27.1,54.4,1.9168,962
3552,-200,1.5,546,21,1335,28,1465,458,15.6,81,1.4216,881
3553,-200,6.5,835,-200,788,-200,1354,887,14.1,76.7,1.2273,951
3554,-200,3,654,-200,1124,-200,1489,614,20.8,58.4,1.4189,840
3555,-200,4.7,749,59,823,62,1464,777,23.7,53.2,1.5418,930
3556,-200,26.1,1458,1056,458,197,1770,2021,12.4,64.8,0.931,1562
3557,-200,7.4,873,288,672,137,1300,1071,13.7,63.6,0.9912,1174
3558,294,12.1,1052,149,761,124,1684,1443,16.8,53.2,1.01,1408
3559,445,15.7,1171,206,684,114,1942,1434,17,54.3,1.0434,1498
3560,-200,4.3,729,68,1034,65,1490,795,20,48.6,1.1199,1008
3561,-200,1.7,558,-200,1166,-200,1304,494,18.8,73.8,1.5885,828
3562,-200,6.2,823,274,827,167,992,879,4.2,48.7,0.4073,1024
3563,-200,3.9,707,-200,1130,-200,1429,532,19.3,46.6,1.0298,926
3564,-200,12.1,1053,-200,949,-200,1641,831,28.9,23.7,0.9285,1052
3565,-200,8.6,924,140,974,90,1404,861,19.8,28.5,0.652,990
3566,-200,2.5,623,22,1064,28,1425,594,23,58.4,1.6223,796
3567,-200,0.2,390,20,1775,20,738,266,3.3,52.8,0.4137,747
3568,-200,11.2,1021,115,745,119,1735,827,38.1,22.6,1.4868,1124
3569,-200,1.4,536,39,1203,32,1302,498,19.4,70.4,1.5663,825
3570,-200,6.4,831,93,922,67,1594,826,17.8,56.5,1.1375,890
3571,-200,10.6,999,120,791,105,1751,1119,24,47.3,1.3914,1013
3572,-200,17.5,1224,-200,609,-200,1886,1426,24.6,60.3,1.8363,1436
3573,-200,1.7,559,-200,1232,-200,1414,478,25,56,1.7428,802
3574,-200,1.8,570,73,964,62,1060,670,12.8,63.6,0.936,910
3575,-200,10.8,1007,120,777,131,1534,880,39.2,16.4,1.1439,1102
3576,-200,4.4,731,156,787,118,1095,622,16.3,47.3,0.8686,976
3577,-200,17.5,1225,163,632,145,1796,1274,41.3,15.5,1.21,1289
3578,-200,8.9,935,297,584,164,1327,1127,15.8,51.3,0.9144,1242
3579,-200,20.6,1313,191,612,109,2120,1220,18.3,62.8,1.3127,1377
3580,-200,11.7,1038,110,805,107,1763,1026,26.5,38.6,1.3154,1065
3581,-200,24.2,1409,-200,506,-200,1972,1439,17.6,70.5,1.4057,1433
3582,-200,12.9,1079,166,764,117,1798,1111,24.4,40,1.2079,1075
3583,-200,6.8,847,-200,929,-200,1604,701,16.2,62.4,1.1423,1139
3584,,,,,,,,,,,,
3585,-200,4.9,757,71,1186,67,1445,556,26.3,31.5,1.0643,844
3586,-200,10.3,988,288,563,123,1387,1257,24.1,33.3,0.9881,1273
3587,227,8.5,918,91,896,90,1527,800,15.7,49.4,0.8768,1095
3588,-200,15.1,1152,149,693,128,1730,1189,25.7,31.6,1.0285,1049
3589,-200,8.2,906,89,989,95,1418,545,21.2,27.7,0.6864,851
3590,,,,,,,,,,,,
3591,79,4.5,739,81,1186,87,1354,589,10.4,61.1,0.7717,973
3592,-200,5.6,793,228,728,142,1173,1054,11.8,53.4,0.7366,1131
3593,-200,36,1686,1074,384,181,2066,1961,10.1,79.3,0.9795,1669
3594,-200,-200,-200,470,-200,160,-200,-200,-200,-200,-200,-200
3595,-200,7.4,874,287,1113,114,1235,905,14.5,56.5,0.9306,1019
3596,-200,6.5,833,47,804,53,1623,626,38.3,27.1,1.797,1058
3597,-200,-200,-200,670,-200,148,-200,-200,-200,-200,-200,-200
3598,-200,-200,-200,446,-200,150,-200,-200,-200,-200,-200,-200
3599,-200,3.4,678,198,987,132,866,579,5.6,42.4,0.3884,864
3600,-200,7,855,332,748,193,939,1446,5.8,42,0.3904,1084
3601,-200,2.5,619,-200,1111,-200,1315,705,21.7,55.4,1.4192,903
3602,-200,8,898,-200,746,-200,1414,955,14.9,74.7,1.2564,1022
3603,-200,1.1,512,81,2121,48,837,356,10.5,37.9,0.4821,703
3604,-200,5.1,769,-200,878,-200,1315,667,25.9,32.9,1.0826,965
3605,-200,12.3,1059,355,508,153,1550,1212,18.3,57.9,1.2047,1247
3606,-200,7.4,875,51,856,68,1406,600,34.9,20.9,1.1463,951
3607,-200,11.9,1045,312,559,161,1312,1094,27.1,21.7,0.7636,1239
3608,-200,12.1,1054,353,631,177,1233,1157,10.2,43.1,0.5366,1148
3609,-200,6.4,831,393,722,210,982,1317,7.4,43.8,0.4538,1122
3610,-200,13.1,1086,514,564,125,1485,1394,11,81.7,1.0727,1469
3611,-200,7.3,871,101,871,62,1528,887,16.2,57.4,1.0515,873
3612,-200,1.6,549,28,1366,43,1317,596,14.3,61.9,1.0031,787
3613,-200,21.3,1331,-200,520,-200,1925,1643,23.3,53,1.4939,1356
3614,100,5.1,770,85,1031,70,1425,944,11.5,63.9,0.8652,1044
3615,-200,3.6,687,72,1143,62,1492,815,14.2,66.2,1.063,1065
3616,-200,11.2,1020,106,681,82,1771,1086,26.6,47.5,1.6265,1104
3617,-200,9.1,943,325,847,103,1351,936,22.2,33.6,0.8886,992
3618,-200,6.3,824,31,803,39,1612,710,31,42.9,1.8909,1012
3619,-200,4.8,751,312,898,156,984,952,5.7,54.5,0.5034,939
3620,-200,23.4,1389,-200,443,-200,1808,1504,9.1,77.1,0.8947,1456
3621,-200,26.3,1461,623,370,140,2005,1648,14.4,65.8,1.0727,1519
3622,-200,30.3,1559,544,440,106,2277,1516,21.7,66.6,1.7077,1571
3623,-200,7.2,865,-200,825,-200,1394,816,14.1,83.8,1.346,1069
3624,-200,4.7,750,84,893,85,1417,881,22.6,31,0.8372,982
3625,-200,2,583,93,889,73,1043,895,13.3,54.4,0.8287,953
3626,-200,3,653,186,1073,110,708,448,3.9,29.2,0.2378,833
3627,-200,10.9,1011,340,762,142,1075,1172,14.2,26.8,0.4332,1072
3628,-200,1.4,536,69,1229,60,970,600,9.3,65.9,0.7757,839
3629,-200,9,938,367,874,147,989,928,9.6,29.6,0.3545,975
3630,-200,6.7,846,78,980,92,1615,905,21.7,50.8,1.3019,942
3631,-200,4.2,723,43,1035,62,1263,474,37.9,15,0.9728,930
3632,-200,-200,-200,487,-200,143,-200,-200,-200,-200,-200,-200
3633,63,3.1,661,66,1256,81,1187,478,14.2,38.2,0.6163,914
3634,-200,6.7,844,156,830,113,990,552,13.1,26.6,0.399,992
3635,-200,5.1,769,236,856,147,1000,735,3.4,62.7,0.4943,951
3636,-200,27,1480,-200,572,-200,2249,1595,11.8,66,0.9085,1513
3637,-200,10.9,1012,243,633,66,1577,1124,19.4,71.4,1.5959,1155
3638,-200,9,940,-200,676,-200,1727,1056,28.1,45.4,1.697,1097
3639,-200,22.6,1367,596,500,214,1722,1503,16.8,55.2,1.048,1388
3640,132,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945,1336
3641,-200,3.9,705,27,980,46,1534,806,27.3,41.6,1.4906,891
3642,-200,3.5,683,188,981,135,790,558,11.1,23.5,0.3105,911
3643,-200,11.8,1042,-200,699,-200,1750,1253,29,45.5,1.7976,1219
3644,-200,4.6,743,65,931,66,1540,884,21.8,52.3,1.3539,913
3645,461,16.1,1183,159,765,130,1773,1242,23.6,31.3,0.9001,1297
3646,-200,8.5,920,95,925,53,1777,955,22.2,56.6,1.4973,1043
3647,-200,7.4,874,72,854,84,1528,899,24.2,37.3,1.1118,953
3648,-200,5.6,795,88,1098,93,1328,673,20.3,28.5,0.6686,934
3649,-200,9.2,949,-200,987,-200,1615,820,23.5,36.9,1.0518,973
3650,-200,12.7,1072,398,535,155,1428,1233,17.3,47.8,0.9363,1370
3651,-200,10.6,1000,147,801,115,1538,1039,40.3,15.8,1.1604,1070
3652,-200,10.2,986,113,776,112,1614,868,24.8,36.8,1.1357,1036
3653,-200,4.2,724,-200,848,-200,898,1201,8.2,40.1,0.4375,1046
3654,-200,3.5,682,56,1109,54,1526,580,14.6,77.1,1.2727,927
3655,-200,1.5,541,93,1148,79,829,399,7.3,48.7,0.5007,877
3656,-200,6,810,82,1204,74,1421,585,21.8,34.9,0.9004,894
3657,-200,4,712,-200,1004,-200,1197,718,15.1,56.9,0.9673,861
3658,161,8.9,937,121,930,102,1464,1200,10.9,55.9,0.7277,1293
3659,-200,12.9,1080,201,742,111,1755,1366,21.4,45,1.1291,1222
3660,-200,2.8,641,154,1022,110,857,553,1.7,54.1,0.3785,874
3661,118,8.7,927,128,944,100,1570,781,12,61.1,0.8537,1132
3662,-200,19.4,1280,800,500,175,1481,1948,8.3,58.5,0.6403,1427
3663,-200,3.8,699,-200,1930,-200,1198,785,11.9,78.2,1.0856,928
3664,-200,2.8,640,166,1093,114,716,408,2.6,35.1,0.2618,812
3665,-200,3.9,703,-200,908,-200,1391,761,20.2,64.4,1.5035,929
3666,-200,0.7,466,-200,1485,-200,1066,408,14.3,58.4,0.9501,726
3667,-200,22.9,1376,235,580,179,2168,1356,32.5,30.9,1.4875,1364
3668,-200,8.8,931,-200,688,-200,1508,1044,18.7,73.4,1.5701,1069
3669,-200,6.6,838,28,774,50,1640,733,26.2,52.3,1.7561,1008
3670,-200,6.8,850,-200,840,-200,1321,858,15.5,59.7,1.0413,954
3671,-200,4.3,725,36,1052,52,1368,668,24.1,32,0.9467,839
3672,-200,14.9,1147,438,505,185,1536,1890,18.2,52.6,1.0911,1278
3673,-200,7.8,890,-200,803,-200,1499,862,35.3,23.1,1.2989,1022
3674,-200,-200,-200,42,-200,59,-200,-200,-200,-200,-200,-200
3675,-200,1.5,543,16,1238,23,1244,462,23.3,41.9,1.1856,749
3676,-200,6.3,825,68,931,54,1487,931,17.1,45.3,0.8784,1022
3677,-200,5.8,802,142,891,81,1265,940,15.9,55.2,0.9881,919
3678,-200,23.3,1386,435,504,88,1833,1404,17.8,65.4,1.3213,1384
3679,-200,2.8,640,35,1265,40,1467,588,19.6,57.1,1.2851,785
3680,-200,28.2,1508,-200,533,-200,2257,1572,20.4,66.7,1.577,1509
3681,-200,9.9,973,121,766,104,1656,1089,25.3,39.2,1.2452,1086
3682,-200,3.1,661,25,1271,37,1299,568,17.2,47.2,0.9178,781
3683,-200,0.2,387,-200,1791,-200,559,227,0.1,40,0.2499,715
3684,-200,4.5,739,181,868,117,972,664,9.9,43.5,0.53,971
3685,-200,10.6,1000,211,783,119,1663,1085,16.6,55.6,1.042,1122
3686,132,6.8,850,92,1084,91,1296,544,22.1,21.3,0.5605,943
3687,-200,2.2,597,-200,1129,-200,1414,478,25.9,46.3,1.524,837
3688,-200,15.7,1171,275,711,148,1717,1360,30.2,22.8,0.9616,1068
3689,-200,9.1,945,107,1030,107,1509,892,17.8,41.7,0.844,956
3690,-200,7.6,883,343,913,144,949,1013,5.6,42,0.3856,987
3691,-200,3,652,21,1223,36,1239,440,37.9,15.9,1.0296,771
3692,-200,3.7,694,-200,1160,-200,1421,779,10.1,71.8,0.888,871
3693,-200,6.2,822,65,823,74,1585,1050,27.9,41.6,1.5425,1023
3694,-200,8.6,923,165,769,69,1640,1049,22.1,66.5,1.7441,1040
3695,-200,37.9,1727,725,389,118,2252,1718,16.5,69.3,1.2897,1601
3696,-200,2.3,604,114,903,84,1020,838,9,64.3,0.7417,953
3697,-200,14.9,1144,414,558,189,1336,1509,8.9,52.5,0.5996,1258
3698,-200,12.7,1074,162,724,123,1806,1166,17.3,61.1,1.1957,1250
3699,-200,5.7,797,175,651,80,1325,1109,16.1,69.5,1.2623,1135
3700,-200,9.5,958,117,878,102,1684,767,30.9,30.3,1.3306,1014
3701,-200,7.3,869,101,925,99,1470,655,32.8,22.2,1.0835,926
3702,-200,13.8,1109,-200,767,-200,1729,1194,13.9,57.2,0.9029,1234
3703,-200,1.5,544,122,1253,93,601,405,0,29.7,0.1847,765
3704,-200,18.9,1265,485,434,158,1655,1617,13,53.9,0.8036,1471
3705,-200,18.6,1258,179,629,170,1813,1315,43.4,14.8,1.2882,1261
3706,-200,9.1,942,104,900,103,1541,776,32.3,19.7,0.9345,971
3707,-200,5,765,174,848,88,1239,807,15.6,61.7,1.0847,1006
3708,-200,13.8,1111,570,586,208,1455,1428,18.3,50,1.0431,1282
3709,-200,2.3,608,33,1282,41,1370,441,18.6,52.3,1.1121,830
3710,-200,14.4,1128,539,573,173,1255,1533,10.8,40.3,0.5201,1268
3711,-200,3.5,684,-200,982,-200,1343,477,32.5,25.9,1.2437,852
3712,-200,7.5,880,-200,727,-200,1538,1034,21.6,60.8,1.5496,1138
3713,-200,2.9,648,-200,1079,-200,1178,774,14.1,61,0.9799,803
3714,-200,4.1,716,45,1047,58,1414,707,20.8,40.2,0.9725,853
3715,-200,1.2,515,86,1327,69,642,322,1,37.4,0.2487,766
3716,-200,10.9,1012,607,717,179,1103,1655,11.7,32.7,0.4472,1197
3717,-200,8.9,934,357,721,153,1075,1206,10.9,35.9,0.468,1117
3718,-200,12.1,1055,-200,701,-200,1602,1364,24.1,48.8,1.4412,1251
